taxyear,N,community,ratio1,ratio,value,erate,taxes,av,av1,appeal_flag,condo,tract2010,white,black,hispanic,nativ,asian,two,medhinc,college,poverty
2009-2015,389,Lincoln Park,0.91255999,0.86659628,251500,0.013569348,3268.6101,22941,23500,0.45758355,0.95886892,70101,0.87486827,0.020284509,0.042149629,0.001053741,0.080084302,0.023709167,66329,0.66374534,0.15053487
2009-2015,366,Lincoln Park,0.9099524,0.83718032,255250,0.01217063,2663.0901,21708.5,23146.5,0.41530055,0.98633879,70102,0.85495234,0.027766267,0.062163282,0.000828844,0.094488189,0.02196436,63567,0.57835901,0.10546298
2009-2015,83,Lincoln Park,0.84531534,0.81307244,239000,0.012695781,2736.71,17570,18996,0.37349397,0.86746991,70103,0.82621413,0.032182563,0.054417789,0.004095963,0.1123464,0.025160912,50872,0.66928911,0.13655521
2009-2015,380,Lincoln Park,0.89057416,0.86065435,447500,0.013657208,5606.1802,38733.5,40107,0.26842105,0.72894734,70200,0.85307693,0.033846155,0.048974358,0.002820513,0.086923078,0.023333333,84223,0.5600698,0.077018946
2009-2015,488,Lincoln Park,0.89516413,0.8740344,449000,0.014106689,6060.3301,39168.5,39825,0.2090164,0.84631145,70300,0.89842588,0.015741015,0.050490052,0.001188001,0.058212057,0.026433026,91910,0.58140928,0.17301349
2009-2015,384,Lincoln Park,0.89741403,0.87767255,526500,0.014353154,7235.7646,46524,47562.5,0.19791667,0.66927081,70400,0.88672924,0.036528151,0.066018768,0.000670241,0.055294905,0.020777481,81800,0.53427064,0.13612399
2009-2015,389,Lincoln Park,0.85917097,0.81498694,575000,0.013085227,6653.5,45885,48831,0.31619537,0.65809768,70500,0.90403003,0.033128414,0.051571038,0.00068306,0.043374319,0.018784152,108958,0.51299244,0.056663871
2009-2015,495,Lincoln Park,0.88701451,0.85796297,555000,0.014084509,7052.0698,45844,46511,0.35151514,0.62222224,70600,0.8822543,0.010063737,0.07514257,0.002683663,0.077490777,0.027507547,134018,0.55351681,0.033978932
2009-2015,500,Lincoln Park,0.91648769,0.87126875,420000,0.014013808,5769.3301,37308.5,39629,0.33399999,0.62199998,70700,0.79459924,0.06090204,0.11577133,0.002872738,0.11749497,0.024130996,106071,0.47021374,0.11944824
2009-2015,286,Lincoln Park,0.90311909,0.86976814,515000,0.013819886,6404.8252,41769,44498.5,0.31818181,0.67832166,71000,0.85749662,0.048176497,0.066861771,0.000675371,0.071589373,0.022062134,93972,0.28746754,0.14656597
