tract2010,white,medhinc,count,mean,median
63000,0.853010416,68594,299,0.001388469,0.001398912
70600,0.882254303,134018,495,0.001338666,0.001369366
70500,0.904030025,108958,389,0.001275934,0.001309896
70400,0.88672924,81800,384,0.00133969,0.001381744
70300,0.898425877,91910,488,0.001346176,0.001376189
51400,0.730861843,74655,271,0.001281437,0.001333697
51300,0.872158051,155500,438,0.001447624,0.001445347
62600,0.86477989,103125,359,0.001407206,0.001413357
70700,0.794599235,106071,500,0.001344514,0.001362106
221600,0.819467843,64855,316,0.001370115,0.001364331
832200,0.870408177,89420,297,0.001351558,0.001363951
832300,0.812834203,100197,216,0.001340202,0.001367798
222200,0.848326385,114038,263,0.001200965,0.001250236
240500,0.860506415,107394,602,0.001127934,0.001238907
831000,0.851730585,117180,377,0.001233343,0.001269112
240300,0.884586155,102188,162,0.001127765,0.001186383
240200,0.834710717,100664,227,0.001256655,0.001262731
832500,0.838325024,61484,371,0.001434068,0.001430516
71100,0.879755437,103250,209,0.001329968,0.001359136
71000,0.857496619,93972,286,0.001318954,0.001360635
842300,0.703144252,106193,450,0.00117433,0.001250607
832600,0.917628109,123851,540,0.00133856,0.001379932
71200,0.88090241,80321,209,0.001304835,0.001327525
71300,0.896100223,90969,414,0.001345588,0.00135821
71400,0.850765884,72907,452,0.001284084,0.001308532
71800,0.775132298,116510,263,0.001248669,0.001307277
71600,0.865395427,131100,200,0.001349204,0.001367129
71700,0.805084765,126736,155,0.001335934,0.001348482
71500,0.884188652,85528,646,0.001272258,0.00130711
241100,0.54291147,48099,210,0.001369803,0.001309431
241000,0.45627749,37083,77,0.00151225,0.00132381
242600,0.603498518,46215,210,0.001414023,0.001400864
240900,0.456006765,36250,24,0.001408205,0.001236975
836600,0.315648973,25921,40,0.001527033,0.001360855
242700,0.407097101,23688,67,0.001659893,0.001547356
242500,0.719313562,42451,204,0.001373597,0.001355761
230700,0.320710242,38319,67,0.001899413,0.001698607
230900,0.384330422,34512,90,0.001516247,0.001302805
230800,0.44901064,52667,18,0.001847597,0.0017902
231200,0.10319934,22576,80,0.001339332,0.00145082
230600,0.250073344,33011,58,0.002054002,0.002153961
842100,0.184073687,27443,69,0.002039411,0.002089412
250700,0.032305673,29283,51,0.001749136,0.001564023
250800,0.044212218,39500,33,0.001715436,0.00159576
251200,0.028598666,40391,49,0.001608299,0.001458324
251100,0.019060902,26464,34,0.001930315,0.001759768
251000,0.023708722,23214,4,0.001500977,0.001443232
250600,0.029398462,46927,69,0.001472037,0.001377529
251300,0.023166023,30039,49,0.001508123,0.00146815
251400,0.051468741,28824,35,0.001546788,0.001350026
252000,0.017835286,21822,24,0.001763743,0.001545824
251500,0.020275921,32135,28,0.001844768,0.001925696
251600,0.014524527,28826,28,0.001908655,0.001771113
251700,0.037458193,22230,10,0.00160951,0.001428407
251900,0.018146921,22587,39,0.001170335,0.0011904
251800,0.004890454,19722,21,0.002238476,0.002135098
260300,0.008951407,22609,3,0.001593524,0.001704651
231500,0.032290116,19455,45,0.002083454,0.002066323
836700,0.065498538,24554,25,0.001865407,0.001922313
836800,0.044720031,14909,30,0.001760201,0.001931396
242800,0.867688,61563,95,0.001469168,0.001448031
837100,0.103353493,30032,28,0.001701483,0.001721165
836900,0.075589456,48250,11,0.001986935,0.001894
837000,0.047482014,17182,25,0.001654808,0.001658286
837800,0.143776819,41279,82,0.001444711,0.001462864
837400,0.08161474,25816,31,0.001980142,0.001883015
271200,0.034188036,31049,10,0.0016647,0.001767222
280800,0.038410597,19074,23,0.000929539,0.000682824
282700,0.269050658,54602,80,0.001711493,0.001618836
837300,0.060410794,25222,33,0.001869343,0.001919551
271800,0.019587629,30573,9,0.001892844,0.001820297
838600,0.046307884,13927,11,0.001540837,0.001506267
260800,0.022055928,24761,7,0.001736243,0.001955056
270500,0.012433393,16554,12,0.001567879,0.001530105
260900,0.013513514,21477,8,0.001540543,0.001880073
843000,0.00294365,16268,13,0.001885915,0.001849902
271500,0.015032212,29792,9,0.002064291,0.001993523
252202,0.006725971,37724,22,0.001805827,0.001836359
260500,0.005687694,26447,6,0.001801759,0.001828064
260700,0.007874016,25685,16,0.001578803,0.001617618
260600,0.010492332,25335,6,0.001529705,0.001678922
261000,0.003449763,43487,15,0.001898311,0.001874251
252102,0.004504505,28257,32,0.001449678,0.00152084
252201,0.024043346,27553,11,0.001752969,0.001658923
252101,0.021167884,30509,3,0.001464246,0.001557105
831400,0.169028342,28750,20,0.001607459,0.001516527
290900,0.018763797,17104,25,0.001848825,0.001734429
292500,0.008937198,27122,9,0.001982212,0.002123451
838700,0.012042819,21123,29,0.001607229,0.001731139
291200,0.011607143,19375,17,0.001541858,0.001423557
841500,0.016880486,22500,12,0.001772721,0.00178292
292200,0.022627492,24008,26,0.00196205,0.001988935
841400,0.03399615,17500,5,0.001880119,0.002054343
841700,0.171983361,16094,16,0.001657741,0.001577704
843100,0.058668077,28750,12,0.002151922,0.001936101
842900,0.146518588,15035,29,0.000888324,0.000566739
840700,0.401741594,29181,16,0.001853166,0.00185902
301100,0.44516623,27727,10,0.001905623,0.001729941
301200,0.421485543,35918,6,0.001792119,0.001944094
300500,0.369358301,35463,19,0.001886444,0.001856452
300600,0.378268987,38958,12,0.001616282,0.001630917
300700,0.361185998,31545,10,0.002405701,0.002358733
300800,0.380911052,30409,12,0.002203189,0.00220137
301702,0.522373319,28125,21,0.001805189,0.00159456
840800,0.452099025,33140,9,0.001419854,0.001001909
301600,0.46003437,29362,20,0.002280546,0.002416946
843400,0.053756032,45682,8,0.001558217,0.001883462
301802,0.440306991,37928,13,0.001930143,0.0019
301803,0.495239884,34219,24,0.001967084,0.001920963
830500,0.648712456,49115,21,0.001929517,0.002010348
580300,0.437757611,29167,14,0.002084824,0.002067612
580200,0.433854908,31335,31,0.00176666,0.001719304
840300,0.432911396,40197,84,0.001478865,0.001490614
580100,0.494814306,36771,45,0.001841961,0.001882637
80100,0.906036913,81341,812,0.00128571,0.001323107
81202,0.905843079,81452,487,0.001326177,0.001332316
81201,0.843064785,69792,847,0.00114773,0.001240301
81300,0.841523349,87396,947,0.001271318,0.001318
80400,0.357887417,22917,282,0.001342627,0.001353628
842200,0.496350378,64907,379,0.001070167,0.001196246
80300,0.83198148,92744,747,0.001160929,0.00124618
80201,0.894736826,74727,601,0.001294259,0.001301329
